6264,3780,2484
3540,2156,1384
5040,3968,1072
2684,1428,1256
3180,1950,1230
3818,2860,958
1152,420,732
3015,1755,1260
506,72,434
480,180,300
1504,1170,334
3900,2950,950
2132,1950,182
850,552,298
4293,2457,1836
4214,3096,1118
5913,4425,1488
3358,2420,938
1395,609,786
2520,1938,582
798,330,468
1056,240,816
2640,1240,1400
3895,2125,1770
4400,3010,1390
2726,1540,1186
5856,4028,1828
2268,1040,1228
3053,1769,1284
4420,2640,1780
3234,1566,1668
5170,3478,1692
704,96,608
2107,1521,586
3328,2520,808
1568,902,666
4453,3213,1240
3550,2332,1218
1472,560,912
1105,300,805
690,30,660
1419,961,458
3472,2352,1120
2898,1764,1134
672,224,448
1173,123,1050
2184,1404,780
1581,527,1054
7476,6006,1470
2793,1961,832
3484,2530,954
5280,4042,1238
114,8,106
120,32,88
3705,2303,1402
5200,3332,1868
5829,4187,1642
2537,2255,282
1632,720,912
3894,2296,1598
4130,3762,368
2288,768,1520
1380,380,1000
1856,1200,656
